,time,turbidity,pH
0,2020-11-04 12:00:00.00+00:00,21,7.5
1,2020-11-04 14:00:00.00+00:00,20,7.5
2,2020-11-04 16:00:00.00+00:00,18,7.5
3,2020-11-04 18:00:00.00+00:00,18,7.5
4,2020-11-04 20:00:00.00+00:00,19,7.5
5,2020-11-04 22:00:00.00+00:00,20,7.5
6,2020-11-05 00:00:00.00+00:00,20,7.5
7,2020-11-05 02:00:00.00+00:00,21,7.5
8,2020-11-05 04:00:00.00+00:00,20,7.5
9,2020-11-05 06:00:00.00+00:00,19,7.5
10,2020-11-05 08:00:00.00+00:00,20,7.5
12,2020-11-05 10:00:00.00+00:00,21,7.5
13,2020-11-05 12:00:00.00+00:00,25,7.5
15,2020-11-05 14:00:00.00+00:00,28,7.5
16,2020-11-05 16:00:00.00+00:00,28,7.5
17,2020-11-05 18:00:00.00+00:00,28,7.5
19,2020-11-05 20:00:00.00+00:00,28,7.5
21,2020-11-05 22:00:00.00+00:00,42,7.5
22,2020-11-06 00:00:00.00+00:00,49,7.5
24,2020-11-06 02:00:00.00+00:00,32,7.5
26,2020-11-06 04:00:00.00+00:00,29,7.5
28,2020-11-06 06:00:00.00+00:00,26,7.5
30,2020-11-06 08:00:00.00+00:00,28,7.5
31,2020-11-06 10:00:00.00+00:00,38,7.5
33,2020-11-06 12:00:00.00+00:00,52,7.5
34,2020-11-06 14:00:00.00+00:00,47,7.5
35,2020-11-06 16:00:00.00+00:00,43,7.5
36,2020-11-06 18:00:00.00+00:00,40,7.5
37,2020-11-06 20:00:00.00+00:00,39,7.5
38,2020-11-06 22:00:00.00+00:00,35,7.5
39,2020-11-07 00:00:00.00+00:00,29,7.5
40,2020-11-07 02:00:00.00+00:00,28,7.5
41,2020-11-07 04:00:00.00+00:00,25,7.5
42,2020-11-07 06:00:00.00+00:00,25,7.5
43,2020-11-07 08:00:00.00+00:00,28,7.5
45,2020-11-07 10:00:00.00+00:00,21,7.5
46,2020-11-07 12:00:00.00+00:00,22,7.5
47,2020-11-07 14:00:00.00+00:00,21,7.5
48,2020-11-07 16:00:00.00+00:00,22,7.5
50,2020-11-07 18:00:00.00+00:00,22,7.5
52,2020-11-07 20:00:00.00+00:00,25,7.5
54,2020-11-07 22:00:00.00+00:00,26,7.5
55,2020-11-08 00:00:00.00+00:00,24,7.5
56,2020-11-08 02:00:00.00+00:00,22,7.5
57,2020-11-08 04:00:00.00+00:00,19,7.5
58,2020-11-08 06:00:00.00+00:00,19,7.5
60,2020-11-08 08:00:00.00+00:00,18,7.5
62,2020-11-08 10:00:00.00+00:00,19,7.5
63,2020-11-08 12:00:00.00+00:00,19,7.5
64,2020-11-08 14:00:00.00+00:00,20,7.5
66,2020-11-08 16:00:00.00+00:00,21,7.5
67,2020-11-08 18:00:00.00+00:00,20,7.5
68,2020-11-08 20:00:00.00+00:00,20,7.5
69,2020-11-08 22:00:00.00+00:00,20,7.5
71,2020-11-09 00:00:00.00+00:00,19,7.5
72,2020-11-09 02:00:00.00+00:00,18,7.5
73,2020-11-09 04:00:00.00+00:00,18,7.5
75,2020-11-09 06:00:00.00+00:00,18,7.5
76,2020-11-09 08:00:00.00+00:00,19,7.5
78,2020-11-09 10:00:00.00+00:00,21,7.5
79,2020-11-09 12:00:00.00+00:00,19,7.6
80,2020-11-09 14:00:00.00+00:00,19,7.5
81,2020-11-09 16:00:00.00+00:00,18,7.5
82,2020-11-09 18:00:00.00+00:00,29,7.5
84,2020-11-09 20:00:00.00+00:00,28,7.5
86,2020-11-09 22:00:00.00+00:00,27,7.5
87,2020-11-10 00:00:00.00+00:00,29,7.6
88,2020-11-10 02:00:00.00+00:00,26,7.5
90,2020-11-10 04:00:00.00+00:00,18,7.5
91,2020-11-10 06:00:00.00+00:00,20,7.5
94,2020-11-10 08:00:00.00+00:00,19,7.5
